,SK_ID_CURR,NAME_CONTRACT_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_CITY_NOT_LIVE_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,YEARS_BEGINEXPLUATATION_MEDI,COMMONAREA_MEDI,ENTRANCES_MEDI,LANDAREA_MEDI,LIVINGAREA_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,PREVIOUS_LOANS_COUNT,PREV_BUR_MEAN_DAYS_CREDIT,PREV_BUR_MEAN_DAYS_CREDIT_ENDDATE,PREV_BUR_MEAN_DAYS_ENDDATE_FACT,PREV_BUR_MEAN_AMT_CREDIT_MAX_OVERDUE,PREV_BUR_MEAN_CNT_CREDIT_PROLONG,PREV_BUR_MEAN_AMT_CREDIT_SUM,PREV_BUR_MEAN_AMT_CREDIT_SUM_DEBT,PREV_BUR_MEAN_AMT_CREDIT_SUM_LIMIT,PREV_BUR_MEAN_AMT_CREDIT_SUM_OVERDUE,PREV_BUR_MEAN_DAYS_CREDIT_UPDATE,PREV_BUR_MEAN_AMT_ANNUITY,PREV_BUR_MEAN_MONTHS_BALANCE_MEAN,PREVIOUS_APPLICATION_COUNT,PREV_APPL_MEAN_AMT_ANNUITY,PREV_APPL_MEAN_AMT_APPLICATION,PREV_APPL_MEAN_AMT_CREDIT,PREV_APPL_MEAN_AMT_DOWN_PAYMENT,PREV_APPL_MEAN_AMT_GOODS_PRICE,PREV_APPL_MEAN_HOUR_APPR_PROCESS_START,PREV_APPL_MEAN_NFLAG_LAST_APPL_IN_DAY,PREV_APPL_MEAN_RATE_DOWN_PAYMENT,PREV_APPL_MEAN_DAYS_DECISION,PREV_APPL_MEAN_SELLERPLACE_AREA,PREV_APPL_MEAN_CNT_PAYMENT,PREV_APPL_MEAN_DAYS_FIRST_DRAWING,PREV_APPL_MEAN_DAYS_FIRST_DUE,PREV_APPL_MEAN_DAYS_LAST_DUE_1ST_VERSION,PREV_APPL_MEAN_DAYS_LAST_DUE,PREV_APPL_MEAN_DAYS_TERMINATION,PREV_APPL_MEAN_NFLAG_INSURED_ON_APPROVAL,PREV_APPL_MEAN_CARD_MEAN_MONTHS_BALANCE,PREV_APPL_MEAN_CARD_MEAN_AMT_BALANCE,PREV_APPL_MEAN_CARD_MEAN_AMT_CREDIT_LIMIT_ACTUAL,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_ATM_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_OTHER_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_POS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_INST_MIN_REGULARITY,PREV_APPL_MEAN_CARD_MEAN_AMT_PAYMENT_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_PAYMENT_TOTAL_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_RECEIVABLE_PRINCIPAL,PREV_APPL_MEAN_CARD_MEAN_AMT_RECIVABLE,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_ATM_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_POS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_INSTALMENT_MATURE_CUM,PREV_APPL_MEAN_CARD_MEAN_SK_DPD,PREV_APPL_MEAN_CARD_MEAN_SK_DPD_DEF,PREV_APPL_MEAN_INSTALL_MEAN_NUM_INSTALMENT_VERSION,PREV_APPL_MEAN_INSTALL_MEAN_NUM_INSTALMENT_NUMBER,PREV_APPL_MEAN_INSTALL_MEAN_DAYS_INSTALMENT,PREV_APPL_MEAN_INSTALL_MEAN_DAYS_ENTRY_PAYMENT,PREV_APPL_MEAN_INSTALL_MEAN_AMT_INSTALMENT,PREV_APPL_MEAN_INSTALL_MEAN_AMT_PAYMENT,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,CODE_GENDER_F,CODE_GENDER_M,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Single / not married,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_Laborers,WEEKDAY_APPR_PROCESS_START_SATURDAY,ORGANIZATION_TYPE_Business Entity Type 3,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE_Military,ORGANIZATION_TYPE_Police,ORGANIZATION_TYPE_Realtor,ORGANIZATION_TYPE_Restaurant,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE_Security Ministries,ORGANIZATION_TYPE_Self-employed,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Transport: type 3,ORGANIZATION_TYPE_Transport: type 4,WALLSMATERIAL_MODE_Others,WALLSMATERIAL_MODE_Panel,TARGET,NAME_FAMILY_STATUS,CODE_GENDER
14,100190,Cash loans,Y,N,0,162000.0,263686.5,24781.5,238500.0,0.022625,13972,-4472.0,-464.0,-4529,3.0,0,2.0,2,16,0,0.5349985744410304,0.5858586300023704,0.7886807751817684,0.3093,0.1973,0.9891,0.8504,0.0,0.2414,0.4583,0.4101,0.2522,0.3564,0.0168,0.3151,0.9891,0.8563,0.0,0.2414,0.4583,0.4195,0.2755,0.3713,0.0,0.0178,0.3123,0.9891,0.0,0.2414,0.4173,0.3628,0.0172,0.4064,5.0,0.0,5.0,0.0,-1161.0,1,0.0,0.0,0.0,3.0,5.0,-1215.8,-43.8,-1295.0,4788.0,0.0,78867.0,-15.551999999999998,27015.552000000003,0.0,-1025.0,,,11.0,19120.716818181816,151363.63636363635,216472.9090909091,0.0,166500.0,11.454545454545457,1.0,0.0,-1350.5454545454545,-1.0,12.909090909090908,365243.0,35265.6,35592.6,35592.6,35597.3,0.7,-19.5,0.0,326842.10526315786,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,7.195249287749287,-1212.6980769230768,-1216.4724715099717,17905.137719871796,16461.756330448716,1.6276944444444446,0.1529722222222222,0.0939809205249415,-0.320068708846264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
100,100017,Cash loans,Y,N,1,225000.0,918468.0,28966.5,697500.0,0.016612,14086,-3028.0,-643.0,-4911,23.0,0,3.0,2,13,0,,0.5669066132460429,0.7700870700124128,0.1474,0.0973,0.9806,0.7348,0.0582,0.1379,0.3333,0.0931,0.1202,0.1397,0.0,0.1502,0.9806,0.7452,0.0587,0.1379,0.3333,0.0952,0.1313,0.1456,0.0,0.0,0.1489,0.9806,0.0585,0.1379,0.0947,0.1422,0.0,0.1417,0.0,0.0,0.0,0.0,-4.0,1,0.0,0.0,0.0,1.0,6.0,-1944.333333333333,-1512.333333333333,-1677.833333333333,0.0,0.0,143295.0,0.0,0.0,0.0,-1594.333333333333,,,2.0,14375.4075,176665.5,175565.25,19152.0,176665.5,16.5,1.0,0.1065294460046603,-1526.5,1454.0,17.0,365243.0,-1489.5,-1009.5,181557.5,181560.5,0.5,,,,,,,,,,,,,,,,,,,1.0,8.0,-1279.5,-1289.5,14371.620749999996,14371.620749999996,4.08208,0.12874,0.0315378434523576,-0.2149652136873491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
134,111291,Cash loans,N,Y,2,90000.0,225000.0,24003.0,225000.0,0.019101,9967,-491.0,-532.0,-2617,,1,4.0,2,15,0,,0.5969127963310418,0.7738956942145427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-394.0,1,0.0,0.0,0.0,0.0,3.0,-1240.0,1408.0,-936.6666666666664,1732.5,0.0,511931.7,0.0,0.0,0.0,-511.66666666666674,,,1.0,10722.825,97578.0,97578.0,0.0,97578.0,11.0,1.0,0.0,-394.0,40.0,10.0,365243.0,-356.0,-86.0,-86.0,-81.0,0.0,,,,,,,,,,,,,,,,,,,1.0,5.5,-221.0,-237.6,10722.654,10722.654,2.5,0.2667,0.10668,-0.0492625664693488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
204,110990,Cash loans,N,Y,0,180000.0,254700.0,26874.0,225000.0,0.006305,12241,-3401.0,-3488.0,-4244,,0,1.0,3,6,0,0.4128771119745602,0.6850676080445851,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0954,0.0,0.0,0.0,0.0,-566.0,1,0.0,0.0,1.0,3.0,4.0,-1218.25,-420.0,-1741.0,0.0,0.0,680624.46,874390.5,0.0,0.0,-365.5,,,3.0,3527.415,26100.0,26100.0,0.0,78300.0,9.0,1.0,0.0,-259.3333333333333,66.0,24.0,365243.0,-527.0,163.0,-107.0,-101.0,0.0,,,,,,,,,,,,,,,,,,,1.0666666666666669,8.0,-317.0,-346.8,5577.638999999997,5577.638999999997,1.415,0.1493,0.105512367491166,-0.2778367780410097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Separated,F
213,105589,Cash loans,Y,N,0,135000.0,369000.0,20146.5,369000.0,0.035792,8361,-522.0,-2359.0,-980,7.0,0,1.0,2,12,1,0.080799383981319,0.0300768485613696,0.2940831009471255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-222.0,1,0.0,0.0,0.0,0.0,3.0,-183.66666666666663,4169.333333333333,,0.0,0.0,241291.65,29970.0,0.0,0.0,-12.0,0.0,-4.833333333333333,2.0,5984.594999999998,88155.0,74650.5,15329.25,88155.0,14.5,1.0,0.1593869982691206,-362.0,44.0,17.0,365243.0,-317.0,163.0,182521.0,182524.5,0.0,,,,,,,,,,,,,,,,,,,1.0,4.5,-212.0,-217.86666666666665,5984.4105,5984.4105,2.7333333333333334,0.1492333333333333,0.0545975609756097,-0.0624327233584499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Single / not married,M
243,106282,Cash loans,N,N,1,135000.0,1476000.0,40590.0,1476000.0,0.011703,16249,-3723.0,-10150.0,-5624,,1,3.0,2,11,0,0.6322994769366587,0.7269309236750182,0.6195277080511546,0.132,0.0926,0.9781,0.7008,0.0237,0.1724,0.25,0.0958,0.1076,0.1316,0.0048,0.1261,0.9767,0.6929,0.0127,0.1379,0.1667,0.0828,0.1102,0.1207,0.0,0.0,0.1332,0.9781,0.0239,0.1724,0.0975,0.134,0.0049,0.098,1.0,0.0,1.0,0.0,-1884.0,0,0.0,0.0,1.0,0.0,5.0,-1252.8,5109.4,-1370.75,,0.0,68435.1,4009.5,0.0,0.0,-985.8,,,5.0,8879.36625,60211.8,57588.3,3291.3,60211.8,14.8,1.0,0.0856834523606775,-854.6,57.4,9.5,365243.0,-661.5,-406.5,182152.75,182155.75,0.0,,,,,,,,,,,,,,,,,,,1.0277777777777777,4.0,-571.5,-588.6388888888888,9036.44375,9036.44375,10.933333333333335,0.3006666666666667,0.0275,-0.2291217921102837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
248,111007,Cash loans,Y,Y,0,360000.0,1822500.0,69417.0,1822500.0,0.072508,15791,-335.0,-6954.0,-4367,16.0,0,2.0,1,11,0,,0.7386236182773364,0.8050196619153701,0.3907,,0.9826,,,0.2759,0.4583,,,,,0.3981,0.9826,,,0.2759,0.4583,,,,,,0.3945,0.9826,,0.2759,,,,0.3425,0.0,0.0,0.0,0.0,-1707.0,1,0.0,0.0,0.0,0.0,7.0,-1211.0,-1123.8333333333333,-971.5,,0.0,78395.78571428571,0.0,0.0,0.0,-780.1428571428571,,,3.0,4235.67,25080.0,22006.5,3387.0,25080.0,15.666666666666664,1.0,0.1425846242016454,-1513.666666666667,18.33333333333333,6.0,365243.0,-1561.5,-1411.5,-1426.5,-1422.0,0.0,,,,,,,,,,,,,,,,,,,1.1,3.3571428571428568,-1490.7857142857142,-1508.3857142857144,4646.667214285714,4353.170785714286,5.0625,0.192825,0.0380888888888888,-0.021214615920461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,F
250,101839,Cash loans,N,N,0,630000.0,562500.0,26064.0,562500.0,0.020713,12141,-3511.0,-336.0,-3722,,1,1.0,2,13,0,0.7057848562044232,0.4449177674317317,0.5726825047161584,0.2278,0.2182,0.9886,0.8436,0.0268,0.1034,0.3333,0.1237,0.1816,0.2673,0.1317,0.2321,0.9886,0.8497,0.0271,0.1034,0.3333,0.1265,0.1983,0.2785,0.0195,0.1394,0.23,0.9886,0.027,0.1034,0.1259,0.2721,0.1344,0.2535,2.0,1.0,2.0,1.0,-1.0,1,0.0,0.0,0.0,0.0,18.0,-1256.3333333333333,856.0,-695.5714285714287,4203.0,0.0,2757101.0,916194.0,0.0,0.0,-686.4444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8928571428571429,0.0413714285714285,0.046336,-0.2891854048266205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Single / not married,F
284,107714,Cash loans,Y,Y,0,121500.0,284400.0,18513.0,225000.0,0.018801,17002,-2462.0,-8218.0,-533,15.0,1,2.0,2,12,0,,0.6203987141624281,0.4276573700350293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,5.0,1.0,-2319.0,1,0.0,0.0,0.0,1.0,4.0,-505.75,874.3333333333335,-242.5,0.0,0.0,724187.61,160995.1725,133639.25625,0.0,-130.75,,,4.0,14622.57,91123.875,211291.875,0.0,121498.5,10.75,1.0,0.0,-754.75,999.75,10.5,365243.0,-742.0,-352.0,-612.0,-605.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.2777777777777777,3.055555555555556,-680.3333333333334,-691.0833333333335,29344.56125,28084.55875,2.340740740740741,0.1523703703703703,0.0650949367088607,-0.1448064933537231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Married,M
327,106358,Cash loans,N,Y,0,90000.0,566055.0,18387.0,472500.0,0.006305,17257,-745.0,-5747.0,-792,,0,2.0,3,3,1,0.702824687123377,0.6234478054790179,0.6363761710860439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-558.0,1,0.0,1.0,0.0,3.0,5.0,-1430.0,-826.0,-1272.0,956.4975,0.0,231876.0,82295.91900000001,0.0,0.0,-893.4,,,4.0,3795.3,22500.0,22500.0,,45000.0,6.0,1.0,,-294.75,12.75,6.0,182518.0,-346.5,182522.5,182522.5,182525.0,0.0,-4.0,123330.25928571427,202500.0,7392.857142857143,54471.85071428572,0.0,47078.993571428575,5491.928571428572,41213.895,28484.26071428572,121855.55142857145,123012.045,0.7142857142857143,11.0,10.285714285714286,2.142857142857143,0.0,0.0,0.5,9.142857142857142,-230.8051948051948,-237.41233766233768,8290.206233766237,7908.734805194805,6.2895,0.2043,0.032482709277367,-0.0431708871762183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Married,F
